Feature_name_B	Feature_name_B_prev	Feature_name_B_next
intergenic*YAL039C_ARS106	YAL039C	ARS106
ARS106	intergenic*YAL039C_ARS106	intergenic*ARS106_YAL038W
intergenic*ARS106_YAL038W	ARS106	YAL038W
YAL038W	intergenic*ARS106_YAL038W	YAL037C-B
YAL037C-B	YAL038W	intergenic*YAL037C-B_YAL037C-A
intergenic*YAL037C-B_YAL037C-A	YAL037C-B	YAL037C-A
YAL037C-A	intergenic*YAL037C-B_YAL037C-A	intergenic*YAL037C-A_YAL037W
intergenic*YAL037C-A_YAL037W	YAL037C-A	YAL037W
YAL037W	intergenic*YAL037C-A_YAL037W	intergenic*YAL037W_YAL036C
intergenic*YAL037W_YAL036C	YAL037W	YAL036C
YAL036C	intergenic*YAL037W_YAL036C	intergenic*YAL036C_YAL035W
intergenic*YAL036C_YAL035W	YAL036C	YAL035W
YAL035W	intergenic*YAL036C_YAL035W	intergenic*YAL035W_YAL034C-B
intergenic*YAL035W_YAL034C-B	YAL035W	YAL034C-B
YAL034C-B	intergenic*YAL035W_YAL034C-B	YAL034W-A
YAL034W-A	YAL034C-B	intergenic*YAL034W-A_YAL034C
intergenic*YAL034W-A_YAL034C	YAL034W-A	YAL034C
YAL034C	intergenic*YAL034W-A_YAL034C	intergenic*YAL034C_YAL033W
intergenic*YAL034C_YAL033W	YAL034C	YAL033W
YAL033W	intergenic*YAL034C_YAL033W	intergenic*YAL033W_YAL032C
intergenic*YAL033W_YAL032C	YAL033W	YAL032C
YAL032C	intergenic*YAL033W_YAL032C	intergenic*YAL032C_YAL031W-A
intergenic*YAL032C_YAL031W-A	YAL032C	YAL031W-A
YAL031W-A	intergenic*YAL032C_YAL031W-A	YAL031C
YAL031C	YAL031W-A	intergenic*YAL031C_YAL030W
intergenic*YAL031C_YAL030W	YAL031C	YAL030W
YAL030W	intergenic*YAL031C_YAL030W	intergenic*YAL030W_YAL029C
intergenic*YAL030W_YAL029C	YAL030W	YAL029C
YAL029C	intergenic*YAL030W_YAL029C	intergenic*YAL029C_YAL028W
intergenic*YAL029C_YAL028W	YAL029C	YAL028W
YAL028W	intergenic*YAL029C_YAL028W	intergenic*YAL028W_YAL027W
intergenic*YAL028W_YAL027W	YAL028W	YAL027W
YAL027W	intergenic*YAL028W_YAL027W	YAL026C-A
YAL026C-A	YAL027W	YAL026C
YAL026C	YAL026C-A	HRA1
HRA1	YAL026C	intergenic*HRA1_YAL025C
intergenic*HRA1_YAL025C	HRA1	YAL025C
YAL025C	intergenic*HRA1_YAL025C	intergenic*YAL025C_YAL024C
intergenic*YAL025C_YAL024C	YAL025C	YAL024C
YAL024C	intergenic*YAL025C_YAL024C	intergenic*YAL024C_YAL023C
intergenic*YAL024C_YAL023C	YAL024C	YAL023C
YAL023C	intergenic*YAL024C_YAL023C	intergenic*YAL023C_YAL022C
intergenic*YAL023C_YAL022C	YAL023C	YAL022C
YAL022C	intergenic*YAL023C_YAL022C	intergenic*YAL022C_YAL021C
intergenic*YAL022C_YAL021C	YAL022C	YAL021C
YAL021C	intergenic*YAL022C_YAL021C	intergenic*YAL021C_YAL020C
intergenic*YAL021C_YAL020C	YAL021C	YAL020C
YAL020C	intergenic*YAL021C_YAL020C	YAL019W-A
YAL019W-A	YAL020C	intergenic*YAL019W-A_YAL019W
intergenic*YAL019W-A_YAL019W	YAL019W-A	YAL019W
YAL019W	intergenic*YAL019W-A_YAL019W	intergenic*YAL019W_YAL018C
intergenic*YAL019W_YAL018C	YAL019W	YAL018C
YAL018C	intergenic*YAL019W_YAL018C	intergenic*YAL018C_YAL017W
intergenic*YAL018C_YAL017W	YAL018C	YAL017W
YAL017W	intergenic*YAL018C_YAL017W	intergenic*YAL017W_YAL016C-B
intergenic*YAL017W_YAL016C-B	YAL017W	YAL016C-B
YAL016C-B	intergenic*YAL017W_YAL016C-B	ARS107
ARS107	YAL016C-B	intergenic*ARS107_YAL016C-A
intergenic*ARS107_YAL016C-A	ARS107	YAL016C-A
YAL016C-A	intergenic*ARS107_YAL016C-A	YAL016W
YAL016W	YAL016C-A	intergenic*YAL016W_YAL015C
intergenic*YAL016W_YAL015C	YAL016W	YAL015C
YAL015C	intergenic*YAL016W_YAL015C	intergenic*YAL015C_YAL014C
intergenic*YAL015C_YAL014C	YAL015C	YAL014C
YAL014C	intergenic*YAL015C_YAL014C	intergenic*YAL014C_YAL013W
intergenic*YAL014C_YAL013W	YAL014C	YAL013W
YAL013W	intergenic*YAL014C_YAL013W	intergenic*YAL013W_YAL012W
intergenic*YAL013W_YAL012W	YAL013W	YAL012W
YAL012W	intergenic*YAL013W_YAL012W	intergenic*YAL012W_YAL011W
intergenic*YAL012W_YAL011W	YAL012W	YAL011W
YAL011W	intergenic*YAL012W_YAL011W	intergenic*YAL011W_YAL010C
intergenic*YAL011W_YAL010C	YAL011W	YAL010C
YAL010C	intergenic*YAL011W_YAL010C	intergenic*YAL010C_YAL009W
intergenic*YAL010C_YAL009W	YAL010C	YAL009W
YAL009W	intergenic*YAL010C_YAL009W	intergenic*YAL009W_YAL008W
intergenic*YAL009W_YAL008W	YAL009W	YAL008W
YAL008W	intergenic*YAL009W_YAL008W	intergenic*YAL008W_YAL007C
intergenic*YAL008W_YAL007C	YAL008W	YAL007C
YAL007C	intergenic*YAL008W_YAL007C	intergenic*YAL007C_YALCdelta2
intergenic*YAL007C_YALCdelta2	YAL007C	YALCdelta2
YALCdelta2	intergenic*YAL007C_YALCdelta2	intergenic*YALCdelta2_tP(UGG)A
intergenic*YALCdelta2_tP(UGG)A	YALCdelta2	tP(UGG)A
tP(UGG)A	intergenic*YALCdelta2_tP(UGG)A	intergenic*tP(UGG)A_YAL005C
intergenic*tP(UGG)A_YAL005C	tP(UGG)A	YAL005C
YAL005C	intergenic*tP(UGG)A_YAL005C	YAL004W
YAL004W	YAL005C	intergenic*YAL004W_YAL003W
intergenic*YAL004W_YAL003W	YAL004W	YAL003W
YAL003W	intergenic*YAL004W_YAL003W	snR18
snR18	YAL003W	intergenic*YAL003W_YAL002W
intergenic*YAL003W_YAL002W	snR18	YAL002W
YAL002W	intergenic*YAL003W_YAL002W	ARS108
ARS108	YAL002W	YAL001C
YAL001C	ARS108	intergenic*YAL001C_CEN1
intergenic*YAL001C_CEN1	YAL001C	CEN1
CEN1	intergenic*YAL001C_CEN1	intergenic*CEN1_YAR002W
intergenic*CEN1_YAR002W	CEN1	YAR002W
YAR002W	intergenic*CEN1_YAR002W	intergenic*YAR002W_YAR002C-A
intergenic*YAR002W_YAR002C-A	YAR002W	YAR002C-A
YAR002C-A	intergenic*YAR002W_YAR002C-A	intergenic*YAR002C-A_YAR003W
intergenic*YAR002C-A_YAR003W	YAR002C-A	YAR003W
YAR003W	intergenic*YAR002C-A_YAR003W	intergenic*YAR003W_YAR007C
intergenic*YAR003W_YAR007C	YAR003W	YAR007C
YAR007C	intergenic*YAR003W_YAR007C	intergenic*YAR007C_YAR008W
intergenic*YAR007C_YAR008W	YAR007C	YAR008W
YAR008W	intergenic*YAR007C_YAR008W	intergenic*YAR008W_ARS109
intergenic*YAR008W_ARS109	YAR008W	ARS109
ARS109	intergenic*YAR008W_ARS109	YARCdelta3
YARCdelta3	ARS109	YARCTy1-1
YARCdelta4	YARCdelta3	intergenic*YARCTy1-1_tA(UGC)A
YARCTy1-1	YARCdelta3	intergenic*YARCTy1-1_tA(UGC)A
YAR009C	YARCdelta3	intergenic*YARCTy1-1_tA(UGC)A
YAR010C	YARCdelta3	intergenic*YARCTy1-1_tA(UGC)A
YARCdelta5	YARCdelta3	intergenic*YARCTy1-1_tA(UGC)A
intergenic*YARCTy1-1_tA(UGC)A	YARCTy1-1	tA(UGC)A
tA(UGC)A	intergenic*YARCTy1-1_tA(UGC)A	intergenic*tA(UGC)A_YAR014C
intergenic*tA(UGC)A_YAR014C	tA(UGC)A	YAR014C
YAR014C	intergenic*tA(UGC)A_YAR014C	intergenic*YAR014C_YAR015W
intergenic*YAR014C_YAR015W	YAR014C	YAR015W
YAR015W	intergenic*YAR014C_YAR015W	intergenic*YAR015W_YAR018C
intergenic*YAR015W_YAR018C	YAR015W	YAR018C
YAR018C	intergenic*YAR015W_YAR018C	intergenic*YAR018C_YAR019C
intergenic*YAR018C_YAR019C	YAR018C	YAR019C
YAR019C	intergenic*YAR018C_YAR019C	YAR019W-A
YAR019W-A	YAR019C	intergenic*YAR019W-A_ARS110
intergenic*YAR019W-A_ARS110	YAR019W-A	ARS110
ARS110	intergenic*YAR019W-A_ARS110	intergenic*ARS110_YAR020C
intergenic*ARS110_YAR020C	ARS110	YAR020C
YAR020C	intergenic*ARS110_YAR020C	intergenic*YAR020C_YAR023C
intergenic*YAR020C_YAR023C	YAR020C	YAR023C
YAR023C	intergenic*YAR020C_YAR023C	intergenic*YAR023C_tL(CAA)A
intergenic*YAR023C_tL(CAA)A	YAR023C	tL(CAA)A
tL(CAA)A	intergenic*YAR023C_tL(CAA)A	intergenic*tL(CAA)A_tS(AGA)A
intergenic*tL(CAA)A_tS(AGA)A	tL(CAA)A	tS(AGA)A
tS(AGA)A	intergenic*tL(CAA)A_tS(AGA)A	intergenic*tS(AGA)A_YARWsigma1
intergenic*tS(AGA)A_YARWsigma1	tS(AGA)A	YARWsigma1
YARWsigma1	intergenic*tS(AGA)A_YARWsigma1	intergenic*YARWsigma1_YARWdelta6
intergenic*YARWsigma1_YARWdelta6	YARWsigma1	YARWdelta6
YARWdelta6	intergenic*YARWsigma1_YARWdelta6	intergenic*YARWdelta6_YAR027W
intergenic*YARWdelta6_YAR027W	YARWdelta6	YAR027W
YAR027W	intergenic*YARWdelta6_YAR027W	intergenic*YAR027W_YAR028W
intergenic*YAR027W_YAR028W	YAR027W	YAR028W
YAR028W	intergenic*YAR027W_YAR028W	intergenic*YAR028W_YAR029W
intergenic*YAR028W_YAR029W	YAR028W	YAR029W
YAR029W	intergenic*YAR028W_YAR029W	YAR030C
YAR030C	YAR029W	YAR031W
YAR031W	YAR030C	intergenic*YAR031W_YAR033W
intergenic*YAR031W_YAR033W	YAR031W	YAR033W
YAR033W	intergenic*YAR031W_YAR033W	intergenic*YAR033W_YARWdelta7
intergenic*YAR033W_YARWdelta7	YAR033W	YARWdelta7
YARWdelta7	intergenic*YAR033W_YARWdelta7	intergenic*YARWdelta7_YAR035W
intergenic*YARWdelta7_YAR035W	YARWdelta7	YAR035W
YAR035W	intergenic*YARWdelta7_YAR035W	intergenic*YAR035W_YAR035C-A
intergenic*YAR035W_YAR035C-A	YAR035W	YAR035C-A
YAR035C-A	intergenic*YAR035W_YAR035C-A	intergenic*YAR035C-A_YAR042W
intergenic*YAR035C-A_YAR042W	YAR035C-A	YAR042W
YAR042W	intergenic*YAR035C-A_YAR042W	intergenic*YAR042W_YAR047C
intergenic*YAR042W_YAR047C	YAR042W	YAR047C
YAR047C	intergenic*YAR042W_YAR047C	intergenic*YAR047C_YAR050W
intergenic*YAR047C_YAR050W	YAR047C	YAR050W
YAR050W	intergenic*YAR047C_YAR050W	intergenic*YAR050W_YAR053W
intergenic*YAR050W_YAR053W	YAR050W	YAR053W
YAR053W	intergenic*YAR050W_YAR053W	intergenic*YAR053W_YARCdelta8
intergenic*YAR053W_YARCdelta8	YAR053W	YARCdelta8
YARCdelta8	intergenic*YAR053W_YARCdelta8	intergenic*YARCdelta8_ARS111
intergenic*YARCdelta8_ARS111	YARCdelta8	ARS111
ARS111	intergenic*YARCdelta8_ARS111	intergenic*ARS111_YAR060C
intergenic*ARS111_YAR060C	ARS111	YAR060C
YAR060C	intergenic*ARS111_YAR060C	intergenic*YAR060C_YAR064W
intergenic*YAR060C_YAR064W	YAR060C	YAR064W
YAR064W	intergenic*YAR060C_YAR064W	intergenic*YAR064W_YAR066W
intergenic*YAR064W_YAR066W	YAR064W	YAR066W
YAR066W	intergenic*YAR064W_YAR066W	intergenic*YAR066W_YAR068W
intergenic*YAR066W_YAR068W	YAR066W	YAR068W
YAR068W	intergenic*YAR066W_YAR068W	ARS112
ARS112	YAR068W	YAR069C
YAR069C	ARS112	intergenic*YAR069C_YAR070C
intergenic*YAR069C_YAR070C	YAR069C	YAR070C
YAR070C	intergenic*YAR069C_YAR070C	intergenic*YAR070C_YAR071W
intergenic*YAR070C_YAR071W	YAR070C	YAR071W
YAR071W	intergenic*YAR070C_YAR071W	intergenic*YAR071W_YAR073W
intergenic*YAR071W_YAR073W	YAR071W	YAR073W
YAR073W	intergenic*YAR071W_YAR073W	YAR075W
YAR075W	YAR073W	intergenic*YAR075W_TEL01R
intergenic*YAR075W_TEL01R	YAR075W	TEL01R
TEL01R	intergenic*YAR075W_TEL01R	NA
TEL02L	NA	intergenic*ARS201_YBL108C-A
ARS200	NA	intergenic*ARS201_YBL108C-A
YBL113C	NA	intergenic*ARS201_YBL108C-A
YBL113W-A	NA	intergenic*ARS201_YBL108C-A
YBL112C	NA	intergenic*ARS201_YBL108C-A
YBL111C	NA	intergenic*ARS201_YBL108C-A
YBL109W	NA	intergenic*ARS201_YBL108C-A
ARS201	TEL02L	intergenic*ARS201_YBL108C-A
intergenic*ARS201_YBL108C-A	ARS201	YBL108C-A
YBL108C-A	intergenic*ARS201_YBL108C-A	intergenic*YBL108C-A_YBL108W
intergenic*YBL108C-A_YBL108W	YBL108C-A	YBL108W
YBL108W	intergenic*YBL108C-A_YBL108W	intergenic*YBL108W_YBLWdelta1
intergenic*YBL108W_YBLWdelta1	YBL108W	YBLWdelta1
YBLWdelta1	intergenic*YBL108W_YBLWdelta1	YBLWdelta2
YBLWdelta2	YBLWdelta1	YBL107W-A
YBL107W-A	YBLWdelta2	YBLWdelta3
YBLWdelta3	YBL107W-A	intergenic*YBLWdelta3_tL(UAA)B1
intergenic*YBLWdelta3_tL(UAA)B1	YBLWdelta3	tL(UAA)B1
tL(UAA)B1	intergenic*YBLWdelta3_tL(UAA)B1	intergenic*tL(UAA)B1_YBL107C
intergenic*tL(UAA)B1_YBL107C	tL(UAA)B1	YBL107C
YBL107C	intergenic*tL(UAA)B1_YBL107C	intergenic*YBL107C_YBL106C
intergenic*YBL107C_YBL106C	YBL107C	YBL106C
YBL106C	intergenic*YBL107C_YBL106C	intergenic*YBL106C_YBL105C
intergenic*YBL106C_YBL105C	YBL106C	YBL105C
YBL105C	intergenic*YBL106C_YBL105C	intergenic*YBL105C_YBL104C
intergenic*YBL105C_YBL104C	YBL105C	YBL104C
YBL104C	intergenic*YBL105C_YBL104C	intergenic*YBL104C_YBL103C
intergenic*YBL104C_YBL103C	YBL104C	YBL103C
YBL103C	intergenic*YBL104C_YBL103C	intergenic*YBL103C_YBL102W
intergenic*YBL103C_YBL102W	YBL103C	YBL102W
YBL102W	intergenic*YBL103C_YBL102W	intergenic*YBL102W_YBL101C
intergenic*YBL102W_YBL101C	YBL102W	YBL101C
YBL101C	intergenic*YBL102W_YBL101C	intergenic*YBL101C_YBL100W-C
intergenic*YBL101C_YBL100W-C	YBL101C	YBL100W-C
YBL100W-C	intergenic*YBL101C_YBL100W-C	intergenic*YBL100W-C_ARS230
intergenic*YBL100W-C_ARS230	YBL100W-C	ARS230
ARS230	intergenic*YBL100W-C_ARS230	intergenic*ARS230_YBLWTy2-1
intergenic*ARS230_YBLWTy2-1	ARS230	YBLWTy2-1
YBLWdelta4	intergenic*ARS230_YBLWTy2-1	intergenic*YBLWTy2-1_YBLWdelta6
YBLWTy2-1	intergenic*ARS230_YBLWTy2-1	intergenic*YBLWTy2-1_YBLWdelta6
YBL100W-A	intergenic*ARS230_YBLWTy2-1	intergenic*YBLWTy2-1_YBLWdelta6
YBL100W-B	intergenic*ARS230_YBLWTy2-1	intergenic*YBLWTy2-1_YBLWdelta6
YBLWdelta5	intergenic*ARS230_YBLWTy2-1	intergenic*YBLWTy2-1_YBLWdelta6
intergenic*YBLWTy2-1_YBLWdelta6	YBLWTy2-1	YBLWdelta6
YBLWdelta6	intergenic*YBLWTy2-1_YBLWdelta6	intergenic*YBLWdelta6_YBLCtau1
intergenic*YBLWdelta6_YBLCtau1	YBLWdelta6	YBLCtau1
YBLCtau1	intergenic*YBLWdelta6_YBLCtau1	intergenic*YBLCtau1_tF(GAA)B
intergenic*YBLCtau1_tF(GAA)B	YBLCtau1	tF(GAA)B
tF(GAA)B	intergenic*YBLCtau1_tF(GAA)B	intergenic*tF(GAA)B_YBL100C
intergenic*tF(GAA)B_YBL100C	tF(GAA)B	YBL100C
YBL100C	intergenic*tF(GAA)B_YBL100C	YBL099W
YBL099W	YBL100C	intergenic*YBL099W_YBL098W
intergenic*YBL099W_YBL098W	YBL099W	YBL098W
YBL098W	intergenic*YBL099W_YBL098W	intergenic*YBL098W_YBL097W
intergenic*YBL098W_YBL097W	YBL098W	YBL097W
YBL097W	intergenic*YBL098W_YBL097W	intergenic*YBL097W_YBL096C
intergenic*YBL097W_YBL096C	YBL097W	YBL096C
YBL096C	intergenic*YBL097W_YBL096C	YBL095W
YBL095W	YBL096C	YBL094C
YBL094C	YBL095W	intergenic*YBL094C_YBL093C
intergenic*YBL094C_YBL093C	YBL094C	YBL093C
YBL093C	intergenic*YBL094C_YBL093C	intergenic*YBL093C_YBL092W
intergenic*YBL093C_YBL092W	YBL093C	YBL092W
YBL092W	intergenic*YBL093C_YBL092W	intergenic*YBL092W_YBL091C-A
intergenic*YBL092W_YBL091C-A	YBL092W	YBL091C-A
YBL091C-A	intergenic*YBL092W_YBL091C-A	intergenic*YBL091C-A_YBL091C
intergenic*YBL091C-A_YBL091C	YBL091C-A	YBL091C
YBL091C	intergenic*YBL091C-A_YBL091C	intergenic*YBL091C_YBL090W
intergenic*YBL091C_YBL090W	YBL091C	YBL090W
YBL090W	intergenic*YBL091C_YBL090W	intergenic*YBL090W_YBL089W
intergenic*YBL090W_YBL089W	YBL090W	YBL089W
YBL089W	intergenic*YBL090W_YBL089W	intergenic*YBL089W_YBL088C
intergenic*YBL089W_YBL088C	YBL089W	YBL088C
YBL088C	intergenic*YBL089W_YBL088C	intergenic*YBL088C_YBL087C
intergenic*YBL088C_YBL087C	YBL088C	YBL087C
YBL087C	intergenic*YBL088C_YBL087C	intergenic*YBL087C_YBL086C
intergenic*YBL087C_YBL086C	YBL087C	YBL086C
YBL086C	intergenic*YBL087C_YBL086C	intergenic*YBL086C_ARS202
intergenic*YBL086C_ARS202	YBL086C	ARS202
ARS202	intergenic*YBL086C_ARS202	intergenic*ARS202_YBL085W
intergenic*ARS202_YBL085W	ARS202	YBL085W
YBL085W	intergenic*ARS202_YBL085W	intergenic*YBL085W_YBL084C
intergenic*YBL085W_YBL084C	YBL085W	YBL084C
YBL084C	intergenic*YBL085W_YBL084C	intergenic*YBL084C_YBL083C
intergenic*YBL084C_YBL083C	YBL084C	YBL083C
YBL083C	intergenic*YBL084C_YBL083C	YBL082C
YBL082C	YBL083C	intergenic*YBL082C_YBL081W
intergenic*YBL082C_YBL081W	YBL082C	YBL081W
YBL081W	intergenic*YBL082C_YBL081W	intergenic*YBL081W_YBL080C
intergenic*YBL081W_YBL080C	YBL081W	YBL080C
YBL080C	intergenic*YBL081W_YBL080C	intergenic*YBL080C_YBL079W
intergenic*YBL080C_YBL079W	YBL080C	YBL079W
YBL079W	intergenic*YBL080C_YBL079W	intergenic*YBL079W_YBL078C
intergenic*YBL079W_YBL078C	YBL079W	YBL078C
YBL078C	intergenic*YBL079W_YBL078C	intergenic*YBL078C_YBL077W
intergenic*YBL078C_YBL077W	YBL078C	YBL077W
YBL077W	intergenic*YBL078C_YBL077W	YBL076C
YBL076C	YBL077W	intergenic*YBL076C_YBL075C
intergenic*YBL076C_YBL075C	YBL076C	YBL075C
YBL075C	intergenic*YBL076C_YBL075C	intergenic*YBL075C_YBL074C
intergenic*YBL075C_YBL074C	YBL075C	YBL074C
YBL074C	intergenic*YBL075C_YBL074C	YBL073W
YBL073W	YBL074C	intergenic*YBL073W_snR56
intergenic*YBL073W_snR56	YBL073W	snR56
snR56	intergenic*YBL073W_snR56	intergenic*snR56_YBL072C
intergenic*snR56_YBL072C	snR56	YBL072C
YBL072C	intergenic*snR56_YBL072C	intergenic*YBL072C_YBL071C-B
intergenic*YBL072C_YBL071C-B	YBL072C	YBL071C-B
YBL071C-B	intergenic*YBL072C_YBL071C-B	intergenic*YBL071C-B_YBL071W-A
intergenic*YBL071C-B_YBL071W-A	YBL071C-B	YBL071W-A
YBL071W-A	intergenic*YBL071C-B_YBL071W-A	YBL071C
YBL071C	YBL071W-A	intergenic*YBL071C_YBL070C
intergenic*YBL071C_YBL070C	YBL071C	YBL070C
YBL070C	intergenic*YBL071C_YBL070C	YBL069W
YBL069W	YBL070C	YBL068W-A
YBL068W-A	YBL069W	YBL068W
YBL068W	YBL068W-A	intergenic*YBL068W_ARS203
intergenic*YBL068W_ARS203	YBL068W	ARS203
ARS203	intergenic*YBL068W_ARS203	intergenic*ARS203_YBL067C
intergenic*ARS203_YBL067C	ARS203	YBL067C
YBL067C	intergenic*ARS203_YBL067C	intergenic*YBL067C_YBL066W
intergenic*YBL067C_YBL066W	YBL067C	YBL066C
YBL066C	intergenic*YBL067C_YBL066W	YBL065W
YBL065W	YBL066C	intergenic*YBL065W_YBL064C
intergenic*YBL065W_YBL064C	YBL065W	YBL064C
YBL064C	intergenic*YBL065W_YBL064C	intergenic*YBL064C_YBL063W
intergenic*YBL064C_YBL063W	YBL064C	YBL063W
YBL063W	intergenic*YBL064C_YBL063W	intergenic*YBL063W_YBL062W
intergenic*YBL063W_YBL062W	YBL063W	YBL062W
YBL062W	intergenic*YBL063W_YBL062W	YBL061C
YBL061C	YBL062W	intergenic*YBL061C_YBL060W
intergenic*YBL061C_YBL060W	YBL061C	YBL060W
YBL060W	intergenic*YBL061C_YBL060W	intergenic*YBL060W_YBL059C-A
intergenic*YBL060W_YBL059C-A	YBL060W	YBL059C-A
YBL059C-A	intergenic*YBL060W_YBL059C-A	intergenic*YBL059C-A_YBL059W
intergenic*YBL059C-A_YBL059W	YBL059C-A	YBL059W
YBL059W	intergenic*YBL059C-A_YBL059W	intergenic*YBL059W_YBL058W
intergenic*YBL059W_YBL058W	YBL059W	YBL058W
YBL058W	intergenic*YBL059W_YBL058W	intergenic*YBL058W_YBL057C
intergenic*YBL058W_YBL057C	YBL058W	YBL057C
YBL057C	intergenic*YBL058W_YBL057C	intergenic*YBL057C_YBL056W
intergenic*YBL057C_YBL056W	YBL057C	YBL056W
YBL056W	intergenic*YBL057C_YBL056W	intergenic*YBL056W_YBL055C
