Feature_name_B_next	Feature_name_B_next_next
YAL054C	intergenic*YAL054C_YAL053W
intergenic*YAL054C_YAL053W	YAL053W
YAL053W	intergenic*YAL053W_YAL051W
intergenic*YAL053W_YAL051W	YAL051W
YAL051W	intergenic*YAL051W_YAL049C
intergenic*YAL051W_YAL049C	YAL049C
YAL049C	intergenic*YAL049C_YAL048C
intergenic*YAL049C_YAL048C	YAL048C
YAL048C	YAL047W-A
YAL047W-A	intergenic*YAL047W-A_YAL047C
intergenic*YAL047W-A_YAL047C	YAL047C
YAL047C	intergenic*YAL047C_YAL046C
intergenic*YAL047C_YAL046C	YAL046C
YAL046C	intergenic*YAL046C_YAL045C
intergenic*YAL046C_YAL045C	YAL045C
YAL045C	YAL044W-A
YAL044W-A	intergenic*YAL044W-A_YAL044C
intergenic*YAL044W-A_YAL044C	YAL044C
YAL044C	intergenic*YAL044C_YAL043C
intergenic*YAL044C_YAL043C	YAL043C
YAL043C	intergenic*YAL043C_YAL042C-A
intergenic*YAL043C_YAL042C-A	YAL042C-A
YAL042C-A	YAL042W
YAL042W	intergenic*YAL042W_YAL041W
intergenic*YAL042W_YAL041W	YAL041W
YAL041W	intergenic*YAL041W_YAL040C
intergenic*YAL041W_YAL040C	YAL040C
YAL040C	intergenic*YAL040C_YAL039C
intergenic*YAL040C_YAL039C	YAL039C
YAL039C	intergenic*YAL039C_ARS106
intergenic*YAL039C_ARS106	ARS106
ARS106	intergenic*ARS106_YAL038W
intergenic*ARS106_YAL038W	YAL038W
YAL038W	YAL037C-B
YAL037C-B	intergenic*YAL037C-B_YAL037C-A
intergenic*YAL037C-B_YAL037C-A	YAL037C-A
YAL037C-A	intergenic*YAL037C-A_YAL037W
intergenic*YAL037C-A_YAL037W	YAL037W
YAL037W	intergenic*YAL037W_YAL036C
intergenic*YAL037W_YAL036C	YAL036C
YAL036C	intergenic*YAL036C_YAL035W
intergenic*YAL036C_YAL035W	YAL035W
YAL035W	intergenic*YAL035W_YAL034C-B
intergenic*YAL035W_YAL034C-B	YAL034C-B
YAL034C-B	YAL034W-A
YAL034W-A	intergenic*YAL034W-A_YAL034C
intergenic*YAL034W-A_YAL034C	YAL034C
YAL034C	intergenic*YAL034C_YAL033W
intergenic*YAL034C_YAL033W	YAL033W
YAL033W	intergenic*YAL033W_YAL032C
intergenic*YAL033W_YAL032C	YAL032C
YAL032C	intergenic*YAL032C_YAL031W-A
intergenic*YAL032C_YAL031W-A	YAL031W-A
YAL031W-A	YAL031C
YAL031C	intergenic*YAL031C_YAL030W
intergenic*YAL031C_YAL030W	YAL030W
YAL030W	intergenic*YAL030W_YAL029C
intergenic*YAL030W_YAL029C	YAL029C
YAL029C	intergenic*YAL029C_YAL028W
intergenic*YAL029C_YAL028W	YAL028W
YAL028W	intergenic*YAL028W_YAL027W
intergenic*YAL028W_YAL027W	YAL027W
YAL027W	YAL026C-A
YAL026C-A	YAL026C
YAL026C	HRA1
HRA1	intergenic*HRA1_YAL025C
intergenic*HRA1_YAL025C	YAL025C
YAL025C	intergenic*YAL025C_YAL024C
intergenic*YAL025C_YAL024C	YAL024C
YAL024C	intergenic*YAL024C_YAL023C
intergenic*YAL024C_YAL023C	YAL023C
YAL023C	intergenic*YAL023C_YAL022C
intergenic*YAL023C_YAL022C	YAL022C
YAL022C	intergenic*YAL022C_YAL021C
intergenic*YAL022C_YAL021C	YAL021C
YAL021C	intergenic*YAL021C_YAL020C
intergenic*YAL021C_YAL020C	YAL020C
YAL020C	YAL019W-A
YAL019W-A	intergenic*YAL019W-A_YAL019W
intergenic*YAL019W-A_YAL019W	YAL019W
YAL019W	intergenic*YAL019W_YAL018C
intergenic*YAL019W_YAL018C	YAL018C
YAL018C	intergenic*YAL018C_YAL017W
intergenic*YAL018C_YAL017W	YAL017W
YAL017W	intergenic*YAL017W_YAL016C-B
intergenic*YAL017W_YAL016C-B	YAL016C-B
YAL016C-B	ARS107
ARS107	intergenic*ARS107_YAL016C-A
intergenic*ARS107_YAL016C-A	YAL016C-A
YAL016C-A	YAL016W
YAL016W	intergenic*YAL016W_YAL015C
intergenic*YAL016W_YAL015C	YAL015C
YAL015C	intergenic*YAL015C_YAL014C
intergenic*YAL015C_YAL014C	YAL014C
YAL014C	intergenic*YAL014C_YAL013W
intergenic*YAL014C_YAL013W	YAL013W
YAL013W	intergenic*YAL013W_YAL012W
intergenic*YAL013W_YAL012W	YAL012W
YAL012W	intergenic*YAL012W_YAL011W
intergenic*YAL012W_YAL011W	YAL011W
YAL011W	intergenic*YAL011W_YAL010C
intergenic*YAL011W_YAL010C	YAL010C
YAL010C	intergenic*YAL010C_YAL009W
intergenic*YAL010C_YAL009W	YAL009W
YAL009W	intergenic*YAL009W_YAL008W
intergenic*YAL009W_YAL008W	YAL008W
YAL008W	intergenic*YAL008W_YAL007C
intergenic*YAL008W_YAL007C	YAL007C
YAL007C	intergenic*YAL007C_YALCdelta2
intergenic*YAL007C_YALCdelta2	YALCdelta2
YALCdelta2	intergenic*YALCdelta2_tP(UGG)A
intergenic*YALCdelta2_tP(UGG)A	tP(UGG)A
tP(UGG)A	intergenic*tP(UGG)A_YAL005C
intergenic*tP(UGG)A_YAL005C	YAL005C
YAL005C	YAL004W
YAL004W	intergenic*YAL004W_YAL003W
intergenic*YAL004W_YAL003W	YAL003W
YAL003W	snR18
snR18	intergenic*YAL003W_YAL002W
intergenic*YAL003W_YAL002W	YAL002W
YAL002W	ARS108
ARS108	YAL001C
YAL001C	intergenic*YAL001C_CEN1
intergenic*YAL001C_CEN1	CEN1
CEN1	intergenic*CEN1_YAR002W
intergenic*CEN1_YAR002W	YAR002W
YAR002W	intergenic*YAR002W_YAR002C-A
intergenic*YAR002W_YAR002C-A	YAR002C-A
YAR002C-A	intergenic*YAR002C-A_YAR003W
intergenic*YAR002C-A_YAR003W	YAR003W
YAR003W	intergenic*YAR003W_YAR007C
intergenic*YAR003W_YAR007C	YAR007C
YAR007C	intergenic*YAR007C_YAR008W
intergenic*YAR007C_YAR008W	YAR008W
YAR008W	intergenic*YAR008W_ARS109
intergenic*YAR008W_ARS109	ARS109
ARS109	YARCdelta3
YARCdelta3	YARCTy1-1
YARCdelta4	intergenic*YARCTy1-1_tA(UGC)A
YARCTy1-1	intergenic*YARCTy1-1_tA(UGC)A
YAR009C	intergenic*YARCTy1-1_tA(UGC)A
YAR010C	intergenic*YARCTy1-1_tA(UGC)A
YARCdelta5	intergenic*YARCTy1-1_tA(UGC)A
intergenic*YARCTy1-1_tA(UGC)A	tA(UGC)A
tA(UGC)A	intergenic*tA(UGC)A_YAR014C
intergenic*tA(UGC)A_YAR014C	YAR014C
YAR014C	intergenic*YAR014C_YAR015W
intergenic*YAR014C_YAR015W	YAR015W
YAR015W	intergenic*YAR015W_YAR018C
intergenic*YAR015W_YAR018C	YAR018C
YAR018C	intergenic*YAR018C_YAR019C
intergenic*YAR018C_YAR019C	YAR019C
YAR019C	YAR019W-A
YAR019W-A	intergenic*YAR019W-A_ARS110
intergenic*YAR019W-A_ARS110	ARS110
ARS110	intergenic*ARS110_YAR020C
intergenic*ARS110_YAR020C	YAR020C
YAR020C	intergenic*YAR020C_YAR023C
intergenic*YAR020C_YAR023C	YAR023C
YAR023C	intergenic*YAR023C_tL(CAA)A
intergenic*YAR023C_tL(CAA)A	tL(CAA)A
tL(CAA)A	intergenic*tL(CAA)A_tS(AGA)A
intergenic*tL(CAA)A_tS(AGA)A	tS(AGA)A
tS(AGA)A	intergenic*tS(AGA)A_YARWsigma1
intergenic*tS(AGA)A_YARWsigma1	YARWsigma1
YARWsigma1	intergenic*YARWsigma1_YARWdelta6
intergenic*YARWsigma1_YARWdelta6	YARWdelta6
YARWdelta6	intergenic*YARWdelta6_YAR027W
intergenic*YARWdelta6_YAR027W	YAR027W
YAR027W	intergenic*YAR027W_YAR028W
intergenic*YAR027W_YAR028W	YAR028W
YAR028W	intergenic*YAR028W_YAR029W
intergenic*YAR028W_YAR029W	YAR029W
YAR029W	YAR030C
YAR030C	YAR031W
YAR031W	intergenic*YAR031W_YAR033W
intergenic*YAR031W_YAR033W	YAR033W
YAR033W	intergenic*YAR033W_YARWdelta7
intergenic*YAR033W_YARWdelta7	YARWdelta7
YARWdelta7	intergenic*YARWdelta7_YAR035W
intergenic*YARWdelta7_YAR035W	YAR035W
YAR035W	intergenic*YAR035W_YAR035C-A
intergenic*YAR035W_YAR035C-A	YAR035C-A
YAR035C-A	intergenic*YAR035C-A_YAR042W
intergenic*YAR035C-A_YAR042W	YAR042W
YAR042W	intergenic*YAR042W_YAR047C
intergenic*YAR042W_YAR047C	YAR047C
YAR047C	intergenic*YAR047C_YAR050W
intergenic*YAR047C_YAR050W	YAR050W
YAR050W	intergenic*YAR050W_YAR053W
intergenic*YAR050W_YAR053W	YAR053W
YAR053W	intergenic*YAR053W_YARCdelta8
intergenic*YAR053W_YARCdelta8	YARCdelta8
YARCdelta8	intergenic*YARCdelta8_ARS111
intergenic*YARCdelta8_ARS111	ARS111
ARS111	intergenic*ARS111_YAR060C
intergenic*ARS111_YAR060C	YAR060C
YAR060C	intergenic*YAR060C_YAR064W
intergenic*YAR060C_YAR064W	YAR064W
YAR064W	intergenic*YAR064W_YAR066W
intergenic*YAR064W_YAR066W	YAR066W
YAR066W	intergenic*YAR066W_YAR068W
intergenic*YAR066W_YAR068W	YAR068W
YAR068W	ARS112
ARS112	YAR069C
YAR069C	intergenic*YAR069C_YAR070C
intergenic*YAR069C_YAR070C	YAR070C
YAR070C	intergenic*YAR070C_YAR071W
intergenic*YAR070C_YAR071W	YAR071W
YAR071W	intergenic*YAR071W_YAR073W
intergenic*YAR071W_YAR073W	YAR073W
YAR073W	YAR075W
YAR075W	intergenic*YAR075W_TEL01R
intergenic*YAR075W_TEL01R	TEL01R
TEL01R	NA
TEL02L	intergenic*ARS201_YBL108C-A
ARS200	intergenic*ARS201_YBL108C-A
YBL113C	intergenic*ARS201_YBL108C-A
YBL113W-A	intergenic*ARS201_YBL108C-A
YBL112C	intergenic*ARS201_YBL108C-A
YBL111C	intergenic*ARS201_YBL108C-A
YBL109W	intergenic*ARS201_YBL108C-A
ARS201	intergenic*ARS201_YBL108C-A
intergenic*ARS201_YBL108C-A	YBL108C-A
YBL108C-A	intergenic*YBL108C-A_YBL108W
intergenic*YBL108C-A_YBL108W	YBL108W
YBL108W	intergenic*YBL108W_YBLWdelta1
intergenic*YBL108W_YBLWdelta1	YBLWdelta1
YBLWdelta1	YBLWdelta2
YBLWdelta2	YBL107W-A
YBL107W-A	YBLWdelta3
YBLWdelta3	intergenic*YBLWdelta3_tL(UAA)B1
intergenic*YBLWdelta3_tL(UAA)B1	tL(UAA)B1
tL(UAA)B1	intergenic*tL(UAA)B1_YBL107C
intergenic*tL(UAA)B1_YBL107C	YBL107C
YBL107C	intergenic*YBL107C_YBL106C
intergenic*YBL107C_YBL106C	YBL106C
YBL106C	intergenic*YBL106C_YBL105C
intergenic*YBL106C_YBL105C	YBL105C
YBL105C	intergenic*YBL105C_YBL104C
intergenic*YBL105C_YBL104C	YBL104C
YBL104C	intergenic*YBL104C_YBL103C
intergenic*YBL104C_YBL103C	YBL103C
YBL103C	intergenic*YBL103C_YBL102W
intergenic*YBL103C_YBL102W	YBL102W
YBL102W	intergenic*YBL102W_YBL101C
intergenic*YBL102W_YBL101C	YBL101C
YBL101C	intergenic*YBL101C_YBL100W-C
intergenic*YBL101C_YBL100W-C	YBL100W-C
YBL100W-C	intergenic*YBL100W-C_ARS230
intergenic*YBL100W-C_ARS230	ARS230
ARS230	intergenic*ARS230_YBLWTy2-1
intergenic*ARS230_YBLWTy2-1	YBLWTy2-1
YBLWdelta4	intergenic*YBLWTy2-1_YBLWdelta6
YBLWTy2-1	intergenic*YBLWTy2-1_YBLWdelta6
YBL100W-A	intergenic*YBLWTy2-1_YBLWdelta6
YBL100W-B	intergenic*YBLWTy2-1_YBLWdelta6
YBLWdelta5	intergenic*YBLWTy2-1_YBLWdelta6
intergenic*YBLWTy2-1_YBLWdelta6	YBLWdelta6
YBLWdelta6	intergenic*YBLWdelta6_YBLCtau1
intergenic*YBLWdelta6_YBLCtau1	YBLCtau1
YBLCtau1	intergenic*YBLCtau1_tF(GAA)B
intergenic*YBLCtau1_tF(GAA)B	tF(GAA)B
tF(GAA)B	intergenic*tF(GAA)B_YBL100C
intergenic*tF(GAA)B_YBL100C	YBL100C
YBL100C	YBL099W
YBL099W	intergenic*YBL099W_YBL098W
intergenic*YBL099W_YBL098W	YBL098W
YBL098W	intergenic*YBL098W_YBL097W
intergenic*YBL098W_YBL097W	YBL097W
YBL097W	intergenic*YBL097W_YBL096C
intergenic*YBL097W_YBL096C	YBL096C
YBL096C	YBL095W
YBL095W	YBL094C
YBL094C	intergenic*YBL094C_YBL093C
intergenic*YBL094C_YBL093C	YBL093C
YBL093C	intergenic*YBL093C_YBL092W
intergenic*YBL093C_YBL092W	YBL092W
YBL092W	intergenic*YBL092W_YBL091C-A
intergenic*YBL092W_YBL091C-A	YBL091C-A
YBL091C-A	intergenic*YBL091C-A_YBL091C
intergenic*YBL091C-A_YBL091C	YBL091C
YBL091C	intergenic*YBL091C_YBL090W
intergenic*YBL091C_YBL090W	YBL090W
YBL090W	intergenic*YBL090W_YBL089W
intergenic*YBL090W_YBL089W	YBL089W
YBL089W	intergenic*YBL089W_YBL088C
intergenic*YBL089W_YBL088C	YBL088C
YBL088C	intergenic*YBL088C_YBL087C
intergenic*YBL088C_YBL087C	YBL087C
YBL087C	intergenic*YBL087C_YBL086C
intergenic*YBL087C_YBL086C	YBL086C
YBL086C	intergenic*YBL086C_ARS202
intergenic*YBL086C_ARS202	ARS202
ARS202	intergenic*ARS202_YBL085W
intergenic*ARS202_YBL085W	YBL085W
YBL085W	intergenic*YBL085W_YBL084C
intergenic*YBL085W_YBL084C	YBL084C
YBL084C	intergenic*YBL084C_YBL083C
intergenic*YBL084C_YBL083C	YBL083C
YBL083C	YBL082C
YBL082C	intergenic*YBL082C_YBL081W
intergenic*YBL082C_YBL081W	YBL081W
YBL081W	intergenic*YBL081W_YBL080C
intergenic*YBL081W_YBL080C	YBL080C
YBL080C	intergenic*YBL080C_YBL079W
intergenic*YBL080C_YBL079W	YBL079W
YBL079W	intergenic*YBL079W_YBL078C
intergenic*YBL079W_YBL078C	YBL078C
YBL078C	intergenic*YBL078C_YBL077W
intergenic*YBL078C_YBL077W	YBL077W
YBL077W	YBL076C
YBL076C	intergenic*YBL076C_YBL075C
intergenic*YBL076C_YBL075C	YBL075C
YBL075C	intergenic*YBL075C_YBL074C
intergenic*YBL075C_YBL074C	YBL074C
YBL074C	YBL073W
YBL073W	intergenic*YBL073W_snR56
intergenic*YBL073W_snR56	snR56
snR56	intergenic*snR56_YBL072C
intergenic*snR56_YBL072C	YBL072C
YBL072C	intergenic*YBL072C_YBL071C-B
intergenic*YBL072C_YBL071C-B	YBL071C-B
YBL071C-B	intergenic*YBL071C-B_YBL071W-A
intergenic*YBL071C-B_YBL071W-A	YBL071W-A
YBL071W-A	YBL071C
YBL071C	intergenic*YBL071C_YBL070C
intergenic*YBL071C_YBL070C	YBL070C
YBL070C	YBL069W
YBL069W	YBL068W-A
YBL068W-A	YBL068W
YBL068W	intergenic*YBL068W_ARS203
intergenic*YBL068W_ARS203	ARS203
ARS203	intergenic*ARS203_YBL067C
intergenic*ARS203_YBL067C	YBL067C
YBL067C	intergenic*YBL067C_YBL066W
intergenic*YBL067C_YBL066W	YBL066C
YBL066C	YBL065W
YBL065W	intergenic*YBL065W_YBL064C
intergenic*YBL065W_YBL064C	YBL064C
YBL064C	intergenic*YBL064C_YBL063W
intergenic*YBL064C_YBL063W	YBL063W
YBL063W	intergenic*YBL063W_YBL062W
intergenic*YBL063W_YBL062W	YBL062W
YBL062W	YBL061C
YBL061C	intergenic*YBL061C_YBL060W
intergenic*YBL061C_YBL060W	YBL060W
YBL060W	intergenic*YBL060W_YBL059C-A
intergenic*YBL060W_YBL059C-A	YBL059C-A
YBL059C-A	intergenic*YBL059C-A_YBL059W
intergenic*YBL059C-A_YBL059W	YBL059W
YBL059W	intergenic*YBL059W_YBL058W
intergenic*YBL059W_YBL058W	YBL058W
YBL058W	intergenic*YBL058W_YBL057C
intergenic*YBL058W_YBL057C	YBL057C
YBL057C	intergenic*YBL057C_YBL056W
intergenic*YBL057C_YBL056W	YBL056W
YBL056W	intergenic*YBL056W_YBL055C
intergenic*YBL056W_YBL055C	YBL055C
YBL055C	intergenic*YBL055C_YBL054W
intergenic*YBL055C_YBL054W	YBL054W
YBL054W	intergenic*YBL054W_YBL053W
intergenic*YBL054W_YBL053W	YBL053W
YBL053W	YBL052C
YBL052C	intergenic*YBL052C_YBL051C
intergenic*YBL052C_YBL051C	YBL051C
YBL051C	intergenic*YBL051C_YBL050W
intergenic*YBL051C_YBL050W	YBL050W
YBL050W	intergenic*YBL050W_YBL049W
intergenic*YBL050W_YBL049W	YBL049W
YBL049W	intergenic*YBL049W_YBL048W
intergenic*YBL049W_YBL048W	YBL048W
YBL048W	intergenic*YBL048W_YBL047C
intergenic*YBL048W_YBL047C	YBL047C
YBL047C	intergenic*YBL047C_YBL046W
intergenic*YBL047C_YBL046W	YBL046W
YBL046W	intergenic*YBL046W_YBL045C
intergenic*YBL046W_YBL045C	YBL045C
YBL045C	intergenic*YBL045C_YBL044W
intergenic*YBL045C_YBL044W	YBL044W
YBL044W	intergenic*YBL044W_YBL043W
intergenic*YBL044W_YBL043W	YBL043W
YBL043W	intergenic*YBL043W_YBL042C
intergenic*YBL043W_YBL042C	YBL042C
YBL042C	intergenic*YBL042C_YBL041W
intergenic*YBL042C_YBL041W	YBL041W
YBL041W	intergenic*YBL041W_YBL040C
intergenic*YBL041W_YBL040C	YBL040C
YBL040C	intergenic*YBL040C_YBL039W-B
intergenic*YBL040C_YBL039W-B	YBL039W-B
YBL039W-B	intergenic*YBL039W-B_ARS206
intergenic*YBL039W-B_ARS206	ARS206
ARS206	intergenic*ARS206_YBL039C
intergenic*ARS206_YBL039C	YBL039C
YBL039C	YBL039C-A
YBL039C-A	intergenic*YBL039C_YBL038W
intergenic*YBL039C_YBL038W	YBL038W
YBL038W	intergenic*YBL038W_YBL037W
intergenic*YBL038W_YBL037W	YBL037W
YBL037W	intergenic*YBL037W_YBL036C
intergenic*YBL037W_YBL036C	YBL036C
YBL036C	intergenic*YBL036C_YBL035C
intergenic*YBL036C_YBL035C	YBL035C
YBL035C	intergenic*YBL035C_YBL034C
intergenic*YBL035C_YBL034C	YBL034C
YBL034C	intergenic*YBL034C_YBL033C
intergenic*YBL034C_YBL033C	YBL033C
YBL033C	intergenic*YBL033C_YBL032W
intergenic*YBL033C_YBL032W	YBL032W
YBL032W	intergenic*YBL032W_YBL031W
intergenic*YBL032W_YBL031W	YBL031W
YBL031W	intergenic*YBL031W_YBL030C
intergenic*YBL031W_YBL030C	YBL030C
YBL030C	intergenic*YBL030C_YBL029C-A
intergenic*YBL030C_YBL029C-A	YBL029C-A
YBL029C-A	intergenic*YBL029C-A_YBL029W
intergenic*YBL029C-A_YBL029W	YBL029W
YBL029W	intergenic*YBL029W_YBL028C
intergenic*YBL029W_YBL028C	YBL028C
YBL028C	intergenic*YBL028C_YBL027W
intergenic*YBL028C_YBL027W	YBL027W
YBL027W	intergenic*YBL027W_ARS207
intergenic*YBL027W_ARS207	ARS207
ARS207	intergenic*ARS207_YBL026W
intergenic*ARS207_YBL026W	YBL026W
YBL026W	intergenic*YBL026W_YBL025W
intergenic*YBL026W_YBL025W	YBL025W
YBL025W	intergenic*YBL025W_YBL024W
intergenic*YBL025W_YBL024W	YBL024W
YBL024W	intergenic*YBL024W_YBL023C
intergenic*YBL024W_YBL023C	YBL023C
YBL023C	intergenic*YBL023C_YBL022C
intergenic*YBL023C_YBL022C	YBL022C
YBL022C	intergenic*YBL022C_YBL021C
intergenic*YBL022C_YBL021C	YBL021C
YBL021C	intergenic*YBL021C_YBL020W
intergenic*YBL021C_YBL020W	YBL020W
YBL020W	intergenic*YBL020W_YBL019W
intergenic*YBL020W_YBL019W	YBL019W
YBL019W	intergenic*YBL019W_YBL018C
intergenic*YBL019W_YBL018C	YBL018C
YBL018C	intergenic*YBL018C_YBL017C
intergenic*YBL018C_YBL017C	YBL017C
YBL017C	intergenic*YBL017C_YBL016W
intergenic*YBL017C_YBL016W	YBL016W
YBL016W	intergenic*YBL016W_YBL015W
intergenic*YBL016W_YBL015W	YBL015W
YBL015W	intergenic*YBL015W_YBLCdelta7
intergenic*YBL015W_YBLCdelta7	YBLCdelta7
YBLCdelta7	intergenic*YBLCdelta7_tI(AAU)B
intergenic*YBLCdelta7_tI(AAU)B	tI(AAU)B
tI(AAU)B	intergenic*tI(AAU)B_tG(GCC)B
intergenic*tI(AAU)B_tG(GCC)B	tG(GCC)B
tG(GCC)B	intergenic*tG(GCC)B_YBLWsigma1
intergenic*tG(GCC)B_YBLWsigma1	YBLWsigma1
YBLWsigma1	intergenic*YBLWsigma1_ARS231
intergenic*YBLWsigma1_ARS231	ARS231
ARS231	intergenic*ARS231_YBL014C
intergenic*ARS231_YBL014C	YBL014C
YBL014C	intergenic*YBL014C_YBL013W
intergenic*YBL014C_YBL013W	YBL013W
YBL013W	intergenic*YBL013W_YBL012C
intergenic*YBL013W_YBL012C	YBL012C
YBL012C	YBL011W
YBL011W	intergenic*YBL011W_YBL010C
intergenic*YBL011W_YBL010C	YBL010C
YBL010C	intergenic*YBL010C_YBL009W
intergenic*YBL010C_YBL009W	YBL009W
YBL009W	intergenic*YBL009W_YBL008W-A
intergenic*YBL009W_YBL008W-A	YBL008W-A
YBL008W-A	intergenic*YBL008W-A_YBL008W
intergenic*YBL008W-A_YBL008W	YBL008W
YBL008W	intergenic*YBL008W_YBL007C
intergenic*YBL008W_YBL007C	YBL007C
YBL007C	intergenic*YBL007C_YBL006C
intergenic*YBL007C_YBL006C	YBL006C
YBL006C	YBL006W-A
YBL006W-A	intergenic*YBL006C_YBL005W
intergenic*YBL006C_YBL005W	YBL005W
YBL005W	intergenic*YBL005W_YBLWdelta8
intergenic*YBL005W_YBLWdelta8	YBLWTy1-1
YBLWdelta8	YBLWdelta9
YBLWdelta9	intergenic*YBLWTy1-1_tS(AGA)B
YBLWTy1-1	intergenic*YBLWTy1-1_tS(AGA)B
YBL005W-A	intergenic*YBLWTy1-1_tS(AGA)B
YBL005W-B	intergenic*YBLWTy1-1_tS(AGA)B
YBLWdelta10	intergenic*YBLWTy1-1_tS(AGA)B
intergenic*YBLWTy1-1_tS(AGA)B	tS(AGA)B
tS(AGA)B	intergenic*tS(AGA)B_YBL004W
intergenic*tS(AGA)B_YBL004W	YBL004W
YBL004W	intergenic*YBL004W_YBL003C
intergenic*YBL004W_YBL003C	YBL003C
YBL003C	intergenic*YBL003C_YBL002W
intergenic*YBL003C_YBL002W	YBL002W
YBL002W	intergenic*YBL002W_YBL001C
intergenic*YBL002W_YBL001C	YBL001C
YBL001C	intergenic*YBL001C_ARS208
intergenic*YBL001C_ARS208	ARS208
ARS208	intergenic*ARS208_CEN2
intergenic*ARS208_CEN2	CEN2
CEN2	intergenic*CEN2_YBR001C
intergenic*CEN2_YBR001C	YBR001C
YBR001C	intergenic*YBR001C_YBR002C
intergenic*YBR001C_YBR002C	YBR002C
YBR002C	intergenic*YBR002C_YBR003W
intergenic*YBR002C_YBR003W	YBR003W
YBR003W	intergenic*YBR003W_YBR004C
intergenic*YBR003W_YBR004C	YBR004C
YBR004C	intergenic*YBR004C_YBR005W
intergenic*YBR004C_YBR005W	YBR005W
YBR005W	intergenic*YBR005W_YBR006W
intergenic*YBR005W_YBR006W	YBR006W
YBR006W	intergenic*YBR006W_YBR007C
intergenic*YBR006W_YBR007C	YBR007C
YBR007C	intergenic*YBR007C_YBR008C
intergenic*YBR007C_YBR008C	YBR008C
YBR008C	intergenic*YBR008C_ARS209
intergenic*YBR008C_ARS209	ARS209
ARS209	intergenic*ARS209_YBR009C
intergenic*ARS209_YBR009C	YBR009C
YBR009C	intergenic*YBR009C_YBR010W
intergenic*YBR009C_YBR010W	YBR010W
YBR010W	intergenic*YBR010W_YBR011C
intergenic*YBR010W_YBR011C	YBR011C
YBR011C	intergenic*YBR011C_YBRCdelta11
intergenic*YBR011C_YBRCdelta11	YBRCdelta11
YBRCdelta11	intergenic*YBRCdelta11_YBR012C
intergenic*YBRCdelta11_YBR012C	YBR012C
YBR012C	intergenic*YBR012C_YBRWTy1-2
intergenic*YBR012C_YBRWTy1-2	YBRWdelta12
YBRWdelta12	YBRWTy1-2
YBRWTy1-2	YBR013C
YBR012W-A	YBR013C
YBR012W-B	YBR013C
YBRWdelta13	YBR013C
YBR013C	intergenic*YBR013C_YBRCdelta14
intergenic*YBR013C_YBRCdelta14	YBRCdelta14
YBRCdelta14	intergenic*YBRCdelta14_tT(AGU)B
intergenic*YBRCdelta14_tT(AGU)B	tT(AGU)B
tT(AGU)B	intergenic*tT(AGU)B_YBR014C
intergenic*tT(AGU)B_YBR014C	YBR014C
YBR014C	intergenic*YBR014C_YBR015C
intergenic*YBR014C_YBR015C	YBR015C
YBR015C	intergenic*YBR015C_YBR016W
intergenic*YBR015C_YBR016W	YBR016W
YBR016W	intergenic*YBR016W_YBR017C
intergenic*YBR016W_YBR017C	YBR017C
YBR017C	intergenic*YBR017C_YBR018C
intergenic*YBR017C_YBR018C	YBR018C
YBR018C	intergenic*YBR018C_YBR019C
intergenic*YBR018C_YBR019C	YBR019C
